car_id,dealer_id,date_added
1,5,2021-11-04
2,8,2020-06-02
3,6,2022-06-24
4,1,2020-10-30
5,9,2022-05-06
6,2,2021-12-21
7,1,2020-12-07
8,2,2020-05-26
9,1,2023-08-16
10,10,2023-01-06
11,4,2020-11-30
12,2,2022-08-10
13,8,2022-08-19
14,6,2025-01-22
15,5,2023-10-12
16,3,2021-12-05
17,4,2022-05-01
18,1,2022-01-22
19,9,2022-02-20
20,6,2022-06-25
21,7,2024-01-12
22,3,2020-08-28
23,7,2021-08-02
24,8,2021-01-30
25,2,2023-12-06
26,6,2020-02-02
27,1,2021-11-04
28,6,2021-05-11
29,4,2023-04-07
30,2,2023-04-02
31,10,2024-05-25
32,5,2023-09-29
33,2,2022-12-06
34,2,2021-01-19
35,6,2025-02-26
36,9,2022-05-23
37,7,2020-09-06
38,6,2021-01-09
39,10,2024-01-02
40,5,2022-08-08
41,4,2022-08-24
42,9,2023-11-21
43,9,2025-03-16
44,9,2024-12-24
45,2,2024-11-21
46,1,2020-02-04
47,7,2022-09-06
48,10,2022-12-18
49,6,2024-07-03
50,5,2022-02-24
51,7,2020-01-20
52,5,2022-03-27
53,5,2020-09-17
54,6,2023-01-22
55,3,2023-08-19
56,4,2023-06-30
57,1,2022-03-12
58,6,2021-10-01
59,4,2024-12-20
60,2,2021-08-06
61,8,2020-10-19
62,1,2021-02-26
63,9,2020-10-21
64,8,2021-08-03
65,10,2021-12-11
66,5,2024-08-27
67,6,2024-04-18
68,4,2024-03-02
69,5,2020-03-25
70,1,2022-08-26
71,3,2022-04-07
72,3,2023-11-08
73,4,2025-02-17
74,8,2022-05-10
75,6,2023-11-30
76,3,2020-12-11
77,8,2025-02-04
78,3,2024-05-06
79,2,2024-09-10
80,8,2020-02-28
81,5,2023-10-09
82,2,2020-06-25
83,5,2024-03-31
84,8,2024-10-12
85,10,2020-05-09
86,6,2020-02-20
87,6,2021-06-22
88,7,2023-02-05
89,4,2022-05-28
90,9,2024-08-20
91,8,2020-07-12
92,10,2021-11-02
93,10,2020-04-11
94,2,2022-08-07
95,7,2022-05-23
96,10,2021-01-01
97,10,2021-01-28
98,7,2022-07-15
99,1,2024-03-02
100,5,2021-08-28
