car_id,purchase_id
1,5XO44E9J22
2,Z3UQ27TO6Z
3,R052TQZTPZ
4,EY7HR7R18M
5,FRXMN6FOGI
6,VD2W9CJOC9
7,5CZKPEPGE9
8,5VYJOIPPER
9,IX0M937F7S
10,PL91P8NYO8
11,N8SYR87OK1
12,63C5KIHJ8H
13,MUGRK4TFYY
14,F6CB70XFO7
15,3Z3FNE8QHY
16,78BZZ9XCLP
17,UM3A5AGC18
18,O4FFJ1BW0I
19,AUFQUH9YZL
20,N0MWQKJ31N
21,XMUXPDBKNZ
22,43RUHKNLF9
23,IA973OB8X0
24,K1PYJDR1IF
25,2DJGS3STQD
26,ISP7C1PCBK
27,1T3RMOWAAQ
28,AEF7V7H77B
29,0JC3BSKIWZ
30,VFRQQ7ZF2W
31,BPLFXG5RRO
32,FCB3Z2GEZI
33,7TTQ08YHVQ
34,TCKHF6H7TN
35,R30HDL94EH
36,FAESRVBNW5
37,W37CU7KPW3
38,NDEW8CI27D
39,G974U77BXV
40,YRNTUK82PL
41,A3FXBR8U1R
42,03DOWPGM0O
43,G4U662Q1QM
44,ZLGO6ZJR8U
45,R9VUJXXZ9F
46,7OHXDFALPM
47,DH6PV5CYYJ
48,03VP69B4UE
49,7QFB02GLHR
50,HL6VFW8SFY
